item_id,country,case,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
0701larmany-0701 Xamnua-IPV vaccine,Laos,EPI Logistics,Auto EWARS,2023-08,14.45091667,25,39,6.5,4.944444444,0.842696629,0.747222222,0.921021136,0,0.641025641,12.87640449,7.6,0,25,0.166666667,19.8,0.833333333
0701larmany-0701 Xamnua-MR dilluent,Laos,EPI Logistics,Auto EWARS,2023-02,108.3947333,54,48,8,6.333333333,1.421052632,0.596464646,1.48189438,0,1.125,6.394736842,13,0.5,54,0.666666667,18,1
0701larmany-0701 Xamnua-MR dilluent,Laos,EPI Logistics,Auto EWARS,2023-03,108.4203833,56,63,10.5,6.076923077,1.535864979,0.554924242,1.26158149,0,0.888888889,6.911392405,16,0.333333333,56,0.5,26.8,0.833333333
0701larmany-0701 Xamnua-MR dilluent,Laos,EPI Logistics,Auto EWARS,2023-04,157.1972667,51,43,7.166666667,7.071428571,1.202020202,0.519191919,1.307900888,0,1.186046512,8.626262626,13.8,0.5,51,0.666666667,31.6,1
0701larmany-0701 Xamnua-MR dilluent,Laos,EPI Logistics,Auto EWARS,2023-05,131.59485,52,43,7.166666667,6.666666667,1.3,0.705050505,1.413310152,0,1.209302326,8.55,13.6,0.5,52,0.666666667,30.2,1
0701larmany-0701 Xamnua-MR dilluent,Laos,EPI Logistics,Auto EWARS,2023-06,153.0507667,64,75,12.5,6.3125,1.689768977,0.605160985,1.345120384,0,0.853333333,5.597359736,14.8,0.333333333,64,0.5,30.6,0.666666667
0701larmany-0701 Xamnua-MR dilluent,Laos,EPI Logistics,Auto EWARS,2023-07,142.2375833,62,70,11.66666667,6.294117647,1.641744548,0.637408088,1.306013806,0,0.885714286,7.14953271,13.8,0.333333333,62,0.5,40.8,0.833333333
0701larmany-0701 Xamnua-MR dilluent,Laos,EPI Logistics,Auto EWARS,2023-08,176.6981,74,78,13,6,2.055555556,0.820741422,1.618043881,0,0.948717949,19.97222222,15.6,0.333333333,74,0.333333333,57.6,0.666666667
0701larmany-0701 Xamnua-MR vaccine,Laos,EPI Logistics,Auto EWARS,2023-02,114.6397333,52,48,8,6.666666667,1.3,0.563131313,1.435517569,0,1.083333333,6.425,11.2,0.5,52,0.666666667,22.6,0.833333333
0701larmany-0701 Xamnua-MR vaccine,Laos,EPI Logistics,Auto EWARS,2023-03,111.0983167,59,63,10.5,6.384615385,1.540160643,0.694318182,1.346031746,0,0.936507937,7.178714859,15.6,0.333333333,59,0.5,29.8,0.666666667
