item_id,model,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.9],Coverage[0.9]
Vientiane[prefecture],ARIMA Madagaskar,2012-07,78149.80479,1375.276449,2363,393.8333333,127.6515152,1.795613168,0.519212748,0.738814507,0,0.582004422,17.43394285,530.0367394,0,1375.276449,0.166666667,990.743706,0.166666667
Vientiane[prefecture],ARIMA Madagaskar,2012-08,40911.69482,890.8486069,2175,362.5,128.4661654,1.155749978,0.334113609,0.453937343,0,0.409585566,5.112984838,419.0046266,0,890.8486069,0,430.6909961,0.5
Vientiane[prefecture],ARIMA Madagaskar,2012-09,42885.73623,982.6367818,1972,328.6666667,128.7164179,1.272353594,0.419180457,0.558499265,0,0.498294514,14.12140749,408.9529552,0,982.6367818,0,731.2539967,0.666666667
Vientiane[prefecture],ARIMA Madagaskar,2012-10,2852.480037,219.6790817,1596,266,130.5703704,0.280409561,0.178544577,0.215136374,0,0.137643535,4.762879251,256.1457292,0,219.6790817,0.333333333,205.3408659,1
Vientiane[prefecture],ARIMA Madagaskar,2012-11,8887.55447,407.1686499,1333,222.1666667,132.3161765,0.512873357,0.289839729,0.318422432,0,0.305452851,4.665116116,242.75916,0,407.1686499,0.333333333,218.0814226,1
Vientiane[prefecture],ARIMA Madagaskar,2012-12,66747.66536,935.5625074,1675,279.1666667,133.1678832,1.170906083,0.393630641,0.56056339,0,0.558544781,18.06566256,445.9643073,0,935.5625074,0.166666667,774.3047728,0.833333333
Vientiane[prefecture],ARIMA Madagaskar,2013-01,780337.6549,3108.318687,3747,624.5,133.0289855,3.894287494,0.661344164,1.03780501,0,0.829548622,105.0829886,858.056893,0,3108.318687,0,4023.752459,0.666666667
Xiangkhoang,ARIMA Madagaskar,2012-07,1.44373648,6.000932832,18,3,2.303030303,0.434278034,0.540566873,0.385161848,0,0.333385157,8.504990699,7.302609137,0,6.000932832,0.5,7.418452941,1
Xiangkhoang,ARIMA Madagaskar,2012-08,2.358764825,6.797932003,16,2.666666667,2.30075188,0.492442787,0.870485252,0.465558365,0,0.42487075,9.403146981,8.160431139,0,6.797932003,0.333333333,8.372589537,1
Xiangkhoang,ARIMA Madagaskar,2012-09,2.522616211,7.601426579,14,2.333333333,2.298507463,0.551185693,1.026450975,0.591455438,0,0.542959041,8.974786115,6.866212482,0,7.601426579,0.666666667,9.165409272,1
Xiangkhoang,ARIMA Madagaskar,2012-10,3.709448354,10.19461742,11,1.833333333,2.303703704,0.737552707,1.485808086,0.755606513,0,0.926783402,9.313641278,7.045669414,0,10.19461742,0.666666667,9.576578888,1
Xiangkhoang,ARIMA Madagaskar,2012-11,4.219542791,10.90901279,9,1.5,2.301470588,0.790003056,1.524000253,0.968525421,0,1.212112532,8.991130779,7.127314107,0,10.90901279,0.666666667,9.51721453,1
Xiangkhoang,ARIMA Madagaskar,2012-12,4.023708698,11.75865869,11,1.833333333,2.299270073,0.852347217,1.53463771,1.068395879,0,1.068968972,8.792207517,7.632656927,0,11.75865869,0.5,7.492645525,1
Xiangkhoang,ARIMA Madagaskar,2013-01,34.09645184,18.32119084,27,4.5,2.289855072,1.333504397,0.784466823,0.834606022,0,0.678562624,21.41128052,11.0276619,0,18.32119084,0.333333333,20.16145993,0.833333333
Bokeo,ETS,2012-07,59.85054991,56.14802682,114,19,12.1969697,0.767240118,0.429306363,0.580506206,0,0.492526551,6.152588174,22.8,0,56.14802682,0.166666667,40.73790805,1
Bokeo,ETS,2012-08,146.3314731,37.10581282,105,17.5,12.18796992,0.507410354,0.498317819,0.383471011,0,0.353388694,6.691606218,21,0,37.10581282,0.5,51.48010142,1
Bokeo,ETS,2012-09,223.0183584,56.12997215,96,16,12.14925373,0.77000576,0.847186206,0.584820075,0,0.58468721,6.912507434,19.2,0,56.12997215,0.666666667,52.95858566,1
Bokeo,ETS,2012-10,386.5715002,78.54840368,78,13,12.19259259,1.073717547,1.517987229,0.762020321,0,1.007030816,7.320158192,15.01416145,0,78.54840368,0.833333333,65.14878746,1
Bokeo,ETS,2012-11,453.0986924,96.55112732,65,10.83333333,12.23529412,1.315199651,1.784407198,0.883970576,0,1.485401959,7.833193694,11.98519421,0,96.55112732,1,72.56416232,1
Bokeo,ETS,2012-12,178.4498167,62.76346555,81,13.5,12.23357664,0.85507108,1.010933454,0.675809248,0,0.774857599,6.849335883,16.2,0,62.76346555,0.833333333,55.43813331,1
Bokeo,ETS,2013-01,1294.190879,138.9062493,181,30.16666667,12.18115942,1.900561412,0.437421998,0.700850251,0,0.767437841,12.75136707,36.2,0,138.9062493,0,104.9937204,0.833333333
Champasak,ETS,2012-07,9884.696865,567.2562543,1259,209.8333333,78.67213115,1.201730621,0.432339324,0.603162086,0,0.450560965,4.637567022,231.3383313,0,567.2562543,0,119.1128019,0.833333333
Champasak,ETS,2012-08,6695.84388,411.1093668,1159,193.1666667,79.05691057,0.866694984,0.316718149,0.406411299,0,0.354710411,4.638725624,199.0175944,0,411.1093668,0.166666667,128.1983366,0.833333333
Champasak,ETS,2012-09,6795.545553,412.7519273,1051,175.1666667,79.11290323,0.869541947,0.338807243,0.430960787,0,0.392723052,4.270140723,183.109704,0,412.7519273,0,159.5982105,0.666666667
Champasak,ETS,2012-10,4554.618728,357.0662502,850,141.6666667,80.096,0.742996426,0.547440431,0.427369771,0,0.420077941,4.870753311,130.5484041,0,357.0662502,0.666666667,219.5342622,1
Champasak,ETS,2012-11,13954.96459,654.6552372,710,118.3333333,81.01587302,1.346763321,1.144420002,0.6735353,0,0.92204963,5.542542584,106.5783359,0.166666667,654.6552372,1,322.1369803,1
Champasak,ETS,2012-12,13854.24277,592.390069,892,148.6666667,81.42519685,1.212544544,0.774139005,0.603038678,0,0.664114427,4.95491736,160.3781937,0.166666667,592.390069,0.833333333,259.3633608,0.833333333
Champasak,ETS,2013-01,189197.5467,1482.664411,1996,332.6666667,81.2578125,3.041070484,0.423749525,0.679848665,0,0.742817841,64.59438731,399.2,0,1482.664411,0,1769.519067,0.666666667
LouangNamtha,ETS,2012-07,2.009687283,7.737501528,18,3,2.159090909,0.59728082,0.457972926,0.515777399,0,0.429861196,6.191786016,3.6,0,7.737501528,0.166666667,7.964359684,1
LouangNamtha,ETS,2012-08,4.481693355,5.57282777,16,2.666666667,2.157894737,0.430421657,0.59073358,0.413703079,0,0.348301736,6.512638246,3.2,0,5.57282777,0.333333333,9.478811159,1
LouangNamtha,ETS,2012-09,7.364465873,9.366179686,14,2.333333333,2.156716418,0.723799353,1.289293896,0.650018016,0,0.669012835,6.807248922,2.8,0,9.366179686,0.666666667,9.889243095,1
LouangNamtha,ETS,2012-10,12.72854407,14.07114385,11,1.833333333,2.162962963,1.084249098,2.201055966,0.879153635,0,1.279194896,7.240059961,2.176709985,0,14.07114385,1,11.65784298,1
LouangNamtha,ETS,2012-11,13.29228325,15.46307859,9,1.5,2.161764706,1.192164789,2.301759195,0.969624707,0,1.718119843,7.02426062,1.8,0,15.46307859,1,12.45039187,1
LouangNamtha,ETS,2012-12,6.587610332,10.89179753,11,1.833333333,2.160583942,0.840189336,1.45986553,0.810209451,0,0.990163412,6.844546478,2.2,0,10.89179753,0.833333333,10.32594023,1
LouangNamtha,ETS,2013-01,30.59747039,20.98787923,27,4.5,2.152173913,1.625323981,0.443102973,0.687151213,0,0.777328861,7.219890136,5.4,0,20.98787923,0,16.61420151,0.833333333
Oudomxai,ETS,2012-07,61.68394519,49.06260554,96,16,12.71212121,0.643252278,0.439022039,0.611091826,0,0.511068808,6.221847966,19.2,0,49.06260554,0.166666667,46.20271436,1
Oudomxai,ETS,2012-08,133.2437131,29.75617078,89,14.83333333,12.68421053,0.39098703,0.444105466,0.364201622,0,0.334338998,6.620076251,17.8,0,29.75617078,0.5,54.79475562,1
Oudomxai,ETS,2012-09,221.8958372,42.81916066,80,13.33333333,12.64179104,0.564518647,0.797948368,0.545833691,0,0.535239508,7.034003588,16,0,42.81916066,0.5,57.69973148,1
Oudomxai,ETS,2012-10,380.4305901,66.70469337,65,10.83333333,12.65925926,0.878206905,1.54859101,0.764302335,0,1.026226052,7.401700758,13,0,66.70469337,0.833333333,69.4224723,1
Oudomxai,ETS,2012-11,395.262893,79.52049352,55,9.166666667,12.67647059,1.045513063,1.755568579,0.871182425,0,1.445827155,7.383290935,11,0,79.52049352,1,72.08180223,1
Oudomxai,ETS,2012-12,180.6858682,52.9208316,69,11.5,12.65693431,0.696862162,0.993648574,0.670904199,0,0.766968574,6.510672783,13.8,0,52.9208316,0.833333333,58.78840986,1
Oudomxai,ETS,2013-01,823.1088311,109.0743683,154,25.66666667,12.60144928,1.442616717,0.4572098,0.592922431,0,0.708275119,6.312966747,30.8,0,109.0743683,0.5,79.22804693,0.833333333
Savannakhet,ETS,2012-07,18984.92042,975.5523263,1515,252.5,133.0681818,1.221870263,0.655846401,1.126285352,0,0.643928928,4.155983903,270.6743649,0,975.5523263,0.333333333,196.5548686,1
Savannakhet,ETS,2012-08,33235.48268,1236.710816,1395,232.5,133.2030075,1.547401018,0.894870671,1.705148235,0,0.886531051,3.015605685,279,0,1236.710816,0,449.1741437,0.5
Savannakhet,ETS,2012-09,21400.75112,1056.806344,1265,210.8333333,132.9776119,1.324541688,0.901647427,1.709461923,0,0.835420034,3.555652968,253,0,1056.806344,0,347.8498145,0.666666667
Savannakhet,ETS,2012-10,7780.75769,335.4339546,1023,170.5,133.7925926,0.417853171,0.31287877,0.312716145,0,0.327892429,4.46116498,192.8287872,0,335.4339546,0.666666667,335.0174253,1
Savannakhet,ETS,2012-11,20927.19877,682.3572175,855,142.5,134.5367647,0.845316915,0.988644952,0.617077852,0,0.798078617,5.405975127,149.1559604,0,682.3572175,1,515.963158,1
Savannakhet,ETS,2012-12,13687.12647,572.5771868,1074,179,134.7226277,0.708340779,0.646992257,0.500577761,0,0.533125872,5.078791381,205.9796325,0,572.5771868,0.666666667,404.4944958,1
Savannakhet,ETS,2013-01,216609.8388,1513.590151,2403,400.5,134.2681159,1.878815558,0.318649989,0.467039529,0,0.629875219,30.51868585,480.6,0,1513.590151,0,1514.276563,0.833333333
Vientiane[prefecture],ETS,2012-07,20585.47475,1050.714528,2363,393.8333333,127.6515152,1.371852796,0.454692652,0.543683458,0,0.444652784,7.65161362,352.3051361,0,1050.714528,0.333333333,361.7839786,1
Vientiane[prefecture],ETS,2012-08,36505.91352,1128.260862,2175,362.5,128.4661654,1.463758776,0.55210914,0.824204405,0,0.518740626,4.887909116,360.3229984,0,1128.260862,0.166666667,381.9985065,0.333333333
Vientiane[prefecture],ETS,2012-09,44004.80858,1232.747212,1972,328.6666667,128.7164179,1.596205613,0.687779371,1.085490294,0,0.625125361,7.460228535,347.5021879,0,1232.747212,0,847.5514362,0
Vientiane[prefecture],ETS,2012-10,9906.654553,643.6425466,1596,266,130.5703704,0.821578107,0.492995549,0.722074702,0,0.403284804,3.19104375,256.523213,0,643.6425466,0,208.1064974,0.5
Vientiane[prefecture],ETS,2012-11,13912.66722,668.8115485,1333,222.1666667,132.3161765,0.842441147,0.524269166,0.802122535,0,0.501734095,2.481800294,226.3979427,0,668.8115485,0,386.8937741,0.5
Vientiane[prefecture],ETS,2012-12,53018.82141,1144.101602,1675,279.1666667,133.1678832,1.431903817,0.602851613,0.904788797,0,0.683045732,2.853177243,300.3560851,0,1144.101602,0.166666667,767.8330837,0.333333333
Vientiane[prefecture],ETS,2013-01,689876.6583,3170.268927,3747,624.5,133.0289855,3.971902457,0.728425261,1.177604177,0,0.846081913,73.7400806,720.1606315,0,3170.268927,0,3922.644941,0
Xiangkhoang,ETS,2012-07,3.903467557,6.649430683,18,3,2.303030303,0.481208799,0.359223538,0.424651416,0,0.369412816,7.949586551,3.6,0,6.649430683,0.166666667,11.80417951,1
Xiangkhoang,ETS,2012-08,9.787248295,6.682798006,16,2.666666667,2.30075188,0.48410247,0.815292514,0.464091571,0,0.417674875,8.596217823,3.2,0,6.682798006,0.5,13.57405554,1
Xiangkhoang,ETS,2012-09,10.81375738,7.968118725,14,2.333333333,2.298507463,0.577774843,1.093431591,0.591946954,0,0.569151338,8.254482641,2.8,0,7.968118725,0.5,12.96845579,1
Xiangkhoang,ETS,2012-10,16.95429085,12.01904291,11,1.833333333,2.303703704,0.869544905,1.878995658,0.82094288,0,1.092640265,8.675275468,2.2,0,12.01904291,0.833333333,14.90677609,1
Xiangkhoang,ETS,2012-11,17.18335001,13.87515186,9,1.5,2.301470588,1.004803329,2.072536846,0.919961319,0,1.54168354,8.607858423,1.8,0,13.87515186,1,14.99694247,1
Xiangkhoang,ETS,2012-12,12.48874217,12.25747177,11,1.833333333,2.299270073,0.888504567,1.64542928,0.870280184,0,1.114315615,8.410161779,2.2,0,12.25747177,0.833333333,14.41298629,1
Xiangkhoang,ETS,2013-01,27.51377812,20.26113081,27,4.5,2.289855072,1.474702559,0.544128179,0.654567001,0,0.750412252,7.379474988,5.4,0,20.26113081,0.5,12.50379245,0.833333333
Bokeo,Auto EWARS,2012-07,45.22885,45,114,19,12.1969697,0.614906832,0.399538234,0.538308864,0,0.394736842,5.79378882,19.8,0,45,0.166666667,23.8,1
Bokeo,Auto EWARS,2012-08,50.1589,54,105,17.5,12.18796992,0.738433066,0.527885513,0.754794079,0,0.514285714,4.622044006,19.2,0,54,0,20.4,0.833333333
Bokeo,Auto EWARS,2012-09,92.40226667,66,96,16,12.14925373,0.905405405,0.728301791,1.176133071,0,0.6875,3.813677314,18.4,0,66,0,30.2,0.5
Bokeo,Auto EWARS,2012-10,65.8135,55,78,13,12.19259259,0.7518226,0.772156085,1.288134794,0,0.705128205,4.811664642,15,0,55,0,26,0.333333333
Bokeo,Auto EWARS,2012-11,53.32785,50,65,10.83333333,12.23529412,0.681089744,0.786111111,1.318181818,0,0.769230769,2.397435897,12.8,0,50,0,32.2,0.333333333
Bokeo,Auto EWARS,2012-12,108.7528333,60,81,13.5,12.23357664,0.817422434,0.760702614,1.244834308,0,0.740740741,2.534009547,16,0,60,0,31.2,0.166666667
Bokeo,Auto EWARS,2013-01,1033.037883,140,181,30.16666667,12.18115942,1.915526472,0.793917938,1.327396098,0,0.773480663,3.37953599,35.4,0,140,0,84.6,0
Champasak,Auto EWARS,2012-07,4651.004783,405,1259,209.8333333,78.67213115,0.857991248,0.330034273,0.421891162,0,0.321683876,9.037507814,208.8,0,405,0.166666667,241.4,1
Champasak,Auto EWARS,2012-08,5497.718667,513,1159,193.1666667,79.05691057,1.081499383,0.48434041,0.687073252,0,0.442622951,6.543809132,202.8,0,513,0,207.2,0.833333333
Champasak,Auto EWARS,2012-09,7056.401417,594,1051,175.1666667,79.11290323,1.251376147,0.618410205,0.929882033,0,0.565176023,5.089772341,190.2,0,594,0,188.8,0.5
Champasak,Auto EWARS,2012-10,5513.593083,510,850,141.6666667,80.096,1.061226528,0.648117227,0.984443727,0,0.6,5.202090824,155.8,0,510,0,178.4,0.5
Champasak,Auto EWARS,2012-11,5604.225833,490,710,118.3333333,81.01587302,1.008032915,0.691095439,1.089252386,0,0.690140845,7.780368339,130.8,0,490,0,360.4,0.333333333
Champasak,Auto EWARS,2012-12,14298.2089,613,892,148.6666667,81.42519685,1.254730361,0.647582423,1.008273255,0,0.687219731,2.478757696,168.8,0,613,0,458.6,0.333333333
Champasak,Auto EWARS,2013-01,159886.0542,1622,1996,332.6666667,81.2578125,3.326859597,0.778797305,1.279774265,0,0.812625251,23.08906195,387.2,0,1622,0,1568,0.333333333
LouangNamtha,Auto EWARS,2012-07,0.9376,11,18,3,2.159090909,0.849122807,0.652777778,1.044444444,0,0.611111111,5.403508772,3.6,0,11,0,3.4,1
LouangNamtha,Auto EWARS,2012-08,0.956916667,10,16,2.666666667,2.157894737,0.772357724,0.708333333,1.211111111,0,0.625,4.402439024,3.2,0,10,0,2.6,1
LouangNamtha,Auto EWARS,2012-09,1.441666667,9,14,2.333333333,2.156716418,0.69550173,0.777777778,1.388888889,0,0.642857143,2.62745098,2.8,0,9,0,1.2,1
LouangNamtha,Auto EWARS,2012-10,0.919966667,8,11,1.833333333,2.162962963,0.616438356,0.861111111,1.611111111,0,0.727272727,2.157534247,2.2,0,8,0,1,1
LouangNamtha,Auto EWARS,2012-11,0.9531,7,9,1.5,2.161764706,0.53968254,0.777777778,1.5,0,0.777777778,1.696145125,1.8,0,7,0.166666667,2.4,0.833333333
LouangNamtha,Auto EWARS,2012-12,1.38105,8,11,1.833333333,2.160583942,0.617117117,0.766666667,1.476190476,0,0.727272727,2.23704955,2.2,0,8,0.166666667,0.8,1
LouangNamtha,Auto EWARS,2013-01,25.62516667,23,27,4.5,2.152173913,1.781144781,0.937254902,1.788888889,0,0.851851852,3.562289562,5.4,0,23,0,9.6,0.833333333
Oudomxai,Auto EWARS,2012-07,30.17345,35,96,16,12.71212121,0.458879619,0.382862789,0.52131799,0,0.364583333,4.523241955,16.6,0,35,0.166666667,18.4,1
Oudomxai,Auto EWARS,2012-08,30.54548333,43,89,14.83333333,12.68421053,0.565006916,0.539265324,0.805213196,0,0.483146067,2.601659751,16,0,43,0,14.6,0.833333333
Oudomxai,Auto EWARS,2012-09,43.24451667,48,80,13.33333333,12.64179104,0.632821724,0.658055712,1.017447585,0,0.6,2.953168044,15,0,48,0,13.6,0.5
Oudomxai,Auto EWARS,2012-10,38.62925,44,65,10.83333333,12.65925926,0.579286132,0.729020014,1.182058086,0,0.676923077,1.856348742,12.2,0,44,0,18.2,0.5
Oudomxai,Auto EWARS,2012-11,37.4717,40,55,9.166666667,12.67647059,0.525908739,0.762454212,1.269174143,0,0.727272727,2.129930394,10.6,0,40,0,28,0.333333333
Oudomxai,Auto EWARS,2012-12,78.05718333,51,69,11.5,12.65693431,0.671568627,0.751999916,1.226496798,0,0.739130435,1.382641292,13.6,0,51,0,27.8,0.166666667
Oudomxai,Auto EWARS,2013-01,744.6498833,119,154,25.66666667,12.60144928,1.573893042,0.773069738,1.266053285,0,0.772727273,2.764232317,30,0,119,0,72,0.333333333
Savannakhet,Auto EWARS,2012-07,7581.92335,458,1515,252.5,133.0681818,0.573640763,0.330953507,0.39247364,0,0.302310231,6.536749217,237.2,0,458,0.333333333,388.8,1
Savannakhet,Auto EWARS,2012-08,3724.210383,535,1395,232.5,133.2030075,0.669404305,0.432328746,0.613679943,0,0.383512545,6.094707233,234.4,0,535,0.166666667,331.4,0.833333333
Savannakhet,Auto EWARS,2012-09,8294.659117,710,1265,210.8333333,132.9776119,0.889874104,0.638808471,0.981773715,0,0.561264822,6.236638794,224.8,0,710,0,313.6,0.5
Savannakhet,Auto EWARS,2012-10,7920.796283,657,1023,170.5,133.7925926,0.81843096,0.712336308,1.142276007,0,0.642228739,5.21578452,190,0,657,0,359.4,0.333333333
Savannakhet,Auto EWARS,2012-11,9482.995967,623,855,142.5,134.5367647,0.771784081,0.750055877,1.236084079,0,0.728654971,8.55156583,159.6,0,623,0,525.8,0.166666667
Savannakhet,Auto EWARS,2012-12,19915.23762,818,1074,179,134.7226277,1.011955717,0.765609612,1.255065276,0,0.761638734,2.57566235,203.2,0,818,0,455.6,0.166666667
Savannakhet,Auto EWARS,2013-01,213224.016,1935,2403,400.5,134.2681159,2.401910519,0.791902404,1.312677508,0,0.805243446,11.45593394,463,0,1935,0,1764,0
Vientiane[prefecture],Auto EWARS,2012-07,9650.3237,708,2363,393.8333333,127.6515152,0.924391691,0.312365964,0.406447091,0,0.299619128,10.09519288,386,0,708,0.166666667,449.6,1
