,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
1,2017-02,32.776,21.51,604218.589285714,-,PhuYen,604218.589285714,2,2017,PhuYen
2,2017-03,52.141,24.21,604218.589285714,-,PhuYen,604218.589285714,3,2017,PhuYen
3,2017-04,116.456,25.53,604218.589285714,-,PhuYen,604218.589285714,4,2017,PhuYen
4,2017-05,273.819,25.19,604218.589285714,-,PhuYen,604218.589285714,5,2017,PhuYen
5,2017-06,146.336,25.08,604218.589285714,-,PhuYen,604218.589285714,6,2017,PhuYen
0,2017-01,127.719,18.13,911684.738560268,-,QuangBinh,911684.738560268,1,2017,QuangBinh
1,2017-02,25.323,18.37,911684.738560268,-,QuangBinh,911684.738560268,2,2017,QuangBinh
2,2017-03,82.403,21.21,911684.738560268,-,QuangBinh,911684.738560268,3,2017,QuangBinh
3,2017-04,120.314,24.35,911684.738560268,-,QuangBinh,911684.738560268,4,2017,QuangBinh
4,2017-05,190.031,26.5,911684.738560268,-,QuangBinh,911684.738560268,5,2017,QuangBinh
5,2017-06,372.011,28.67,911684.738560268,-,QuangBinh,911684.738560268,6,2017,QuangBinh
0,2017-01,22.59,18.97,1642168.24211775,-,QuangNam,1642168.24211775,1,2017,QuangNam
1,2017-02,24.49,18.48,1642168.24211775,-,QuangNam,1642168.24211775,2,2017,QuangNam
2,2017-03,89.605,21.23,1642168.24211775,-,QuangNam,1642168.24211775,3,2017,QuangNam
3,2017-04,54.665,24.08,1642168.24211775,-,QuangNam,1642168.24211775,4,2017,QuangNam
4,2017-05,196.681,26.31,1642168.24211775,-,QuangNam,1642168.24211775,5,2017,QuangNam
5,2017-06,313.295,28.89,1642168.24211775,-,QuangNam,1642168.24211775,6,2017,QuangNam
0,2017-01,104.295,25.64,3454984.5968192,-,ThanhHoa,3454984.5968192,1,2017,ThanhHoa
1,2017-02,60.636,25.75,3454984.5968192,-,ThanhHoa,3454984.5968192,2,2017,ThanhHoa
2,2017-03,70.511,27.15,3454984.5968192,-,ThanhHoa,3454984.5968192,3,2017,ThanhHoa
3,2017-04,139.006,27.57,3454984.5968192,-,ThanhHoa,3454984.5968192,4,2017,ThanhHoa
4,2017-05,313.545,27.21,3454984.5968192,-,ThanhHoa,3454984.5968192,5,2017,ThanhHoa
5,2017-06,216.816,27.14,3454984.5968192,-,ThanhHoa,3454984.5968192,6,2017,ThanhHoa
0,2017-01,120.393,26.1,1039466.984375,-,TienGiang,1039466.984375,1,2017,TienGiang
1,2017-02,44.355,26.38,1039466.984375,-,TienGiang,1039466.984375,2,2017,TienGiang
2,2017-03,37.357,27.93,1039466.984375,-,TienGiang,1039466.984375,3,2017,TienGiang
3,2017-04,122.822,28.36,1039466.984375,-,TienGiang,1039466.984375,4,2017,TienGiang
4,2017-05,304.018,27.68,1039466.984375,-,TienGiang,1039466.984375,5,2017,TienGiang
5,2017-06,221.893,27.32,1039466.984375,-,TienGiang,1039466.984375,6,2017,TienGiang
