time_period,rainfall,mean_temperature,disease_cases,population,location
2016-01,324.212,17.2,1411,480618.16,rNmqHqUm4Cf
2016-02,123.835,18.05,1046,479305,rNmqHqUm4Cf
2016-03,336.278,17.96,762,480618.16,rNmqHqUm4Cf
2016-04,480.055,16.86,764,480618.16,rNmqHqUm4Cf
2016-05,120.852,17.08,1052,480618.16,rNmqHqUm4Cf
2016-06,48.959,16.62,1182,480618.16,rNmqHqUm4Cf
2016-07,40.054,17.28,737,480618.16,rNmqHqUm4Cf
2016-08,23.851,17.72,496,480618.16,rNmqHqUm4Cf
2016-09,202.653,17.55,620,480618.16,rNmqHqUm4Cf
2016-10,254.727,17.23,833,480618.16,rNmqHqUm4Cf
2016-11,291.995,16.28,1380,480618.16,rNmqHqUm4Cf
2016-12,166.939,16.51,1461,480618.16,rNmqHqUm4Cf
2017-01,159.631,17.27,1996,600158,rNmqHqUm4Cf
2017-02,351.965,16.43,1017,600158,rNmqHqUm4Cf
2017-03,262.444,16.7,638,600158,rNmqHqUm4Cf
2017-04,150.946,16.49,776,600158,rNmqHqUm4Cf
2017-05,87.235,16.31,834,600158,rNmqHqUm4Cf
2017-06,12.88,17.01,776,600158,rNmqHqUm4Cf
2017-07,55.94,17.26,646,600158,rNmqHqUm4Cf
2017-08,237.39,16.71,404,600158,rNmqHqUm4Cf
2017-09,322.299,16.46,433,600158,rNmqHqUm4Cf
2017-10,382.833,16.68,618,600158,rNmqHqUm4Cf
2017-11,413.805,16.14,548,600158,rNmqHqUm4Cf
2017-12,206.296,16.57,586,600158,rNmqHqUm4Cf
2018-01,259.508,16.2,691,511730,rNmqHqUm4Cf
2018-02,288.651,17,466,511730,rNmqHqUm4Cf
2018-03,357.938,16.44,423,511730,rNmqHqUm4Cf
2018-04,610.91,16.01,387,511730,rNmqHqUm4Cf
2018-05,121.826,16.11,366,511730,rNmqHqUm4Cf
2018-06,51.086,16.39,327,511730,rNmqHqUm4Cf
2018-07,55.184,16.15,245,511730,rNmqHqUm4Cf
2018-08,189.628,16.28,126,511730,rNmqHqUm4Cf
2018-09,117.764,16.65,148,511730,rNmqHqUm4Cf
2018-10,290.7,16.38,187,511730,rNmqHqUm4Cf
2018-11,332.128,16.54,323,511730,rNmqHqUm4Cf
2018-12,301.56,16.08,363,511730,rNmqHqUm4Cf
2019-01,251.797,16.76,379,608703,rNmqHqUm4Cf
2019-02,186.625,17.22,294,608703,rNmqHqUm4Cf
2019-03,253.795,17.17,327,608703,rNmqHqUm4Cf
2019-04,334.364,16.91,339,608703,rNmqHqUm4Cf
2019-05,151.535,16.47,444,608703,rNmqHqUm4Cf
2019-06,175.579,16.39,410,608703,rNmqHqUm4Cf
2019-07,91.911,16.59,535,608703,rNmqHqUm4Cf
2019-08,122.322,16.86,375,608703,rNmqHqUm4Cf
2019-09,219.046,16.72,352,608703,rNmqHqUm4Cf
2019-10,365.256,15.71,426,608703,rNmqHqUm4Cf
