,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
2,2017-09,157.137,26.97,3360967.66738173,-,Piaui,3360967.66738173,9,2017,Piaui
3,2017-10,198.623,26.38,3360967.66738173,-,Piaui,3360967.66738173,10,2017,Piaui
4,2017-11,223.66,26.24,3360967.66738173,-,Piaui,3360967.66738173,11,2017,Piaui
5,2017-12,294.464,25.78,3360967.66738173,-,Piaui,3360967.66738173,12,2017,Piaui
0,2017-07,26.516,20.94,1683229.53896788,-,Rondonia,1683229.53896788,7,2017,Rondonia
1,2017-08,13.13,22.45,1683229.53896788,-,Rondonia,1683229.53896788,8,2017,Rondonia
2,2017-09,25.811,22.74,1683229.53896788,-,Rondonia,1683229.53896788,9,2017,Rondonia
3,2017-10,12.525,25.55,1683229.53896788,-,Rondonia,1683229.53896788,10,2017,Rondonia
4,2017-11,92.798,24.99,1683229.53896788,-,Rondonia,1683229.53896788,11,2017,Rondonia
5,2017-12,96.162,25.48,1683229.53896788,-,Rondonia,1683229.53896788,12,2017,Rondonia
0,2017-07,33.327,25.23,397797.722465312,-,Roraima,397797.722465312,7,2017,Roraima
1,2017-08,1.969,27.0,397797.722465312,-,Roraima,397797.722465312,8,2017,Roraima
2,2017-09,1.411,27.46,397797.722465312,-,Roraima,397797.722465312,9,2017,Roraima
3,2017-10,3.348,28.28,397797.722465312,-,Roraima,397797.722465312,10,2017,Roraima
4,2017-11,5.218,28.04,397797.722465312,-,Roraima,397797.722465312,11,2017,Roraima
5,2017-12,22.874,27.99,397797.722465312,-,Roraima,397797.722465312,12,2017,Roraima
0,2017-07,0.304,18.42,5584876.62046757,-,SantaCatarina,5584876.62046757,7,2017,SantaCatarina
1,2017-08,0.062,22.77,5584876.62046757,-,SantaCatarina,5584876.62046757,8,2017,SantaCatarina
2,2017-09,13.206,22.83,5584876.62046757,-,SantaCatarina,5584876.62046757,9,2017,SantaCatarina
3,2017-10,56.38,25.61,5584876.62046757,-,SantaCatarina,5584876.62046757,10,2017,SantaCatarina
4,2017-11,200.302,22.44,5584876.62046757,-,SantaCatarina,5584876.62046757,11,2017,SantaCatarina
5,2017-12,379.603,22.29,5584876.62046757,-,SantaCatarina,5584876.62046757,12,2017,SantaCatarina
0,2017-07,42.714,18.86,44967541.0592113,-,SaoPaulo,44967541.0592113,7,2017,SaoPaulo
1,2017-08,10.319,19.75,44967541.0592113,-,SaoPaulo,44967541.0592113,8,2017,SaoPaulo
2,2017-09,24.226,20.97,44967541.0592113,-,SaoPaulo,44967541.0592113,9,2017,SaoPaulo
3,2017-10,47.043,23.89,44967541.0592113,-,SaoPaulo,44967541.0592113,10,2017,SaoPaulo
4,2017-11,162.299,22.83,44967541.0592113,-,SaoPaulo,44967541.0592113,11,2017,SaoPaulo
5,2017-12,249.561,23.9,44967541.0592113,-,SaoPaulo,44967541.0592113,12,2017,SaoPaulo
0,2017-07,0.082,21.39,2322750.88176009,-,Sergipe,2322750.88176009,7,2017,Sergipe
1,2017-08,2.73,25.27,2322750.88176009,-,Sergipe,2322750.88176009,8,2017,Sergipe
2,2017-09,7.075,26.71,2322750.88176009,-,Sergipe,2322750.88176009,9,2017,Sergipe
3,2017-10,60.897,28.07,2322750.88176009,-,Sergipe,2322750.88176009,10,2017,Sergipe
4,2017-11,233.408,24.61,2322750.88176009,-,Sergipe,2322750.88176009,11,2017,Sergipe
5,2017-12,305.232,24.18,2322750.88176009,-,Sergipe,2322750.88176009,12,2017,Sergipe
0,2017-07,14.852,26.78,1313317.37805607,-,Tocantins,1313317.37805607,7,2017,Tocantins
1,2017-08,6.803,28.23,1313317.37805607,-,Tocantins,1313317.37805607,8,2017,Tocantins
2,2017-09,4.328,29.27,1313317.37805607,-,Tocantins,1313317.37805607,9,2017,Tocantins
3,2017-10,24.797,29.76,1313317.37805607,-,Tocantins,1313317.37805607,10,2017,Tocantins
4,2017-11,58.042,27.97,1313317.37805607,-,Tocantins,1313317.37805607,11,2017,Tocantins
5,2017-12,135.654,27.02,1313317.37805607,-,Tocantins,1313317.37805607,12,2017,Tocantins
